"Date","Permit Number","Permit Type","Description","Address","Status","Short Notes",
"07/24/2017","PREPLN17-0009","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW OF PROPOSED FIRST FLOOR ADDITION AND ALTERATION OF FRONT ELEVATION","1350 HANSEN AVE, ALAMEDA CA 94501","Closed",,
"04/10/2017","PREPLN17-0008","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW - TWO STORY ADDITON TO SFD","1711 CORNELL DR, ALAMEDA CA 94501","Closed",,
"03/30/2017","PREPLN17-0007","Planning/Pre-Application/NA/NA","PREAPPLICATION REVIEW - 267 UNIT HOUSING DEVELOPMENT WITH 40,000 SF COMMUNITY OFFICES","0 MAIN ST, ALAMEDA CA 94501","Closed",,
"03/01/2017","PREPLN17-0006","Planning/Pre-Application/NA/NA","PRE-APPLICATION - COMPLETE REMODEL OF TWO UNIT DWELLING, REMOVE ONE DWELLING","2231 SAN JOSE AVE, ALAMEDA CA 94501","Closed",,
"02/28/2017","PREPLN17-0005","Planning/Pre-Application/NA/NA","PRE APPLICATION - PRELIM REVIEW FOR EXTERIOR MODIFICATIONS TO EXISTING DUPLEX THAT IS BEING CONVERTED TO A SINGLE FAMILY RESIDENCE.  EXTERIOR MODIFICATIONS INCLUDE EXPANSION OF DORMERS AND REDESIGN OF ROOF OVER 256 SQUARE FOOT PORTION OF THE BUILDING.","2231 SAN JOSE AVE, ALAMEDA CA 94501","Closed",,
"02/06/2017","PREPLN17-0004","Planning/Pre-Application/NA/NA","RESTORE EXISTING 4 UNIT COMPLEX","1822 BAY ST, ALAMEDA CA 94501","Closed",,
"01/30/2017","PREPLN17-0003","Planning/Pre-Application/NA/NA","PRELIM REVIEW APPLICATION FOR NEW HOLIDAY EXPRESS BUILDING AT 1825 PARK STREET","1825 PARK ST, ALAMEDA CA 94501","Closed",,
"01/30/2017","PREPLN17-0002","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PROPOSAL TO CONSTRUCT 2 NEW DWELLING UNITS OVER AN EXISTING RETAIL BUILDING IN THE C-C ZONING DISTRICT","1445 WEBSTER ST, ALAMEDA CA 94501","Closed",,
"01/18/2017","PREPLN17-0001","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - PROPOSED TWO STORY ADDITION ON EXISTING SINGLE STORY SFR, INCLUDES DEMOLITION OF EXISTING DETACHED GARAGE","1611 PARU ST, ALAMEDA CA 94501","Closed",,
"12/28/2016","PREPLN16-0016","Planning/Pre-Application/NA/NA","PRE-APPLICATION - FACADE IMPROVEMENTS TO STREET FRONTAGE OF AN EXISTING APARTMENT COMPLEX","470 CENTRAL AVE, ALAMEDA CA 94501","Closed",,
"10/31/2016","PREPLN16-0015","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW FOR A 200-ROOM, FOUR-STORY HOTEL WITH 7,000 SF OF MEETING SPACE, RESTAURANT, FITNESS CENTER, DAY SPA, POOL, PED/BIKE PATH AND FITNESS TRAIL, AND HOSPITALITY DECK.","1042 BALLENA BLVD, ALAMEDA CA 94501 United States","Closed",,
"09/01/2016","PREPLN16-0014","Planning/Pre-Application/NA/NA","PRE-APPLICATION - DEMOLISH EXISTING BUILDING 1251 MCKAY, RETAIN 1253 MCKAY(REAR BLDG), AND CONSTRUCT SERVICE YARD PARKING AND PARK EXPANSION.","1251 MCKAY AVE, ALAMEDA CA 94501","Closed",,
"08/16/2016","PREPLN16-0013","Planning/Pre-Application/NA/NA","PRE-APPLICATION DESIGN REVIEW - 741 SQUARE FEET ADDITION TO TWO UNITS IN A FOUR UNIT COMPLEX AT THE REAR ELEVATION, ADD AN ATTACHED ONE CAR GARAGE, RECONFIGURE EXISTING GARAGE TO ACCOMMODATE THREE CARS","815 LINCOLN AVE, ALAMEDA CA 94501 United States","Closed",,
"08/10/2016","PREPLN16-0012","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW PROPOSED MIXED USE DEVELOPMENT, 4 NEW BUILDINGS WITH A MIX OF OFFICE SPACES AND 4 NEW DWELLING UNITS","1117 LINCOLN AVE, ALAMEDA CA","Closed",,
"07/13/2016","PREPLN16-0011","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PRE-APPLICATION TO DETERMINE DATE OF CONSTRUCTION AND WHETHER PROJECT REQUIRES HAB REVIEW PRIOR TO ISSUING A DEMOLITION PERMIT TO THE REAR STRUCTURE REFERRED TO AS 3359 1/2 FERNSIDE BLVD IN MICROFICHE RECORDS","3359 FERNSIDE BLVD, ALAMEDA CA 94501 United States","Closed",,
"07/11/2016","PREPLN16-0010","Planning/Pre-Application/NA/NA","PRE-APPLICATION - NEW DRIVEWAY AND FRONT LOADING SINGLE CAR GARAGE","1237 BROADWAY, ALAMEDA CA 94501 United States","Void",,
"07/06/2016","PREPLN16-0009","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW OF POTENTIAL USE PERMIT TO ALLOW PRIVATE TUTORING BUSINESS IN C-C-T ZONE","2534 SANTA CLARA AVE, ALAMEDA CA 94501 United States","Void",,
"06/23/2016","PREPLN16-0008","Planning/Pre-Application/NA/NA","PRE-APPLICATION MEETING -","2414 LINCOLN, ALAMEDA CA 94501","Closed",,
"06/22/2016","PREPLN16-0007","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW PROPOSED EXPANSION OF ASSEMBLY AREA","707 HAIGHT AVE, ALAMEDA CA 94501 United States","Closed",,
"06/06/2016","PREPLN16-0006","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW - TWO STORY ADDITION TO EXISTING COMMERCIAL BUILDING","2527 SANTA CLARA AVE, ALAMEDA CA 94501 United States","Closed",,
"05/25/2016","PREPLN16-0005","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW - PLANNING BOARD STUDY SESSION FOR ALAMEDA LANDING WATERFRONT PARK DESIGN AND LAND USE PROGRAM","2960 MAIN ST, ALAMEDA CA 94501 United States","Closed",,
"05/24/2016","PREPLN16-0004","Planning/Pre-Application/NA/NA","DESIGN REVIEW PRE-APPLICATION -  ADD A SECOND STORY TO AN EXISTING ONE STORY RESIDENCE, ADD A ROOF DECK FACING THE REAR YARD TO THE PROPOSED SECOND STORY","429 FAIR HAVEN RD, ALAMEDA CA 94501 United States","Void",,
"05/23/2016","PREPLN16-0003","Planning/Pre-Application/NA/NA","PRE APP - NEW ADDITION AND BASEMENT CONVERSION TO SFD","938 BUENA VISTA AVE, ALAMEDA CA 94501 United States","Void",,
"04/04/2016","PREPLN16-0002","Planning/Pre-Application/NA/NA","PRE-APPLICATION DESIGN REVIEW - SECOND STORY ADDITION OF 512-SQUARE-FEET TO AN EXISTING TWO-STORY DUPLEX. ADDITION WILL BE ADDED TO UNIT A. ADDITION IS ON THE FRONT OF THE DUPLEX AND INCLUDES NEW GABLE ROOF DESIGN (ORIGINALLY FLAT ROOF ).","1116 BUENA VISTA AVE, ALAMEDA CA 94501 United States","Closed",,
"03/02/2016","PREPLN16-0001","Planning/Pre-Application/NA/NA","PRE-APPLICATION FOR DESIGN REVIEW - FIRST STORY ADDITION OF 51-SQUARE-FEET AND SECOND STORY ADDITION OF 515-SQUARE-FEET TO AN EXISTING TWO-STORY SINGLE FAMILY RESIDENCE, ADD ONE NEW SIDE ENTRANCE DOOR TO ACCESS KITCHEN","1100 POST ST, ALAMEDA CA 94501 United States","Closed",,
"12/16/2015","PREPLN15-0022","Planning/Pre-Application/NA/NA","PRE-APPLICAITON REVIEW - SECOND STORY ADDITION TO SFD","3307 LIBERTY AVE, ALAMEDA CA 94501 United States","Closed",,
"12/14/2015","PREPLN15-0021","Planning/Pre-Application/NA/NA","PRE-APPLICATION - SECOND STORY ADDITION TO SINGLE STORY RESIDENCE ON HISTORIC STUDY LIST S DESIGNATION","3244 STERLING AVE, ALAMEDA CA 94501 United States","Closed",,
"11/18/2015","PREPLN15-0020","Planning/Pre-Application/NA/NA","PRE-APPLICATION - USE PERMIT APPLICATION REVIEW FOR ONE STAND ALONE, WALK-UP ATM IN EXISTING PARKING LOT AT WEBSTER SQURE SHOPPING CENTER","1912 WEBSTER ST, ALAMEDA CA 94501 United States","Closed",,
"11/17/2015","PREPLN15-0019","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PROPOSED SECOND STORY ADDITION OVER EXISTING GARAGE AT REAR OF HOME","222 BEACH RD, ALAMEDA CA 94502","Closed",,
"11/02/2015","PREPLN15-0018","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION - PRELIMINARY REVIEW OF PLANS TO CHANGE HISTORICAL DESIGNATION AT 1809  ST CHARLES STREET, SCOPING REPORT FROM CONSULTANT","1809 ST CHARLES ST, ALAMEDA CA 94501 United States","Closed",,
"10/15/2015","PREPLN15-0017","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION FOR A NEW 3 STORY MIXED USE BUILDING WITH COMMERCIAL, OFFICE, AND SENIOR RESIDENTIAL","1629 WEBSTER ST, ALAMEDA CA 94501 United States","Closed",,
"10/01/2015","PREPLN15-0016","Planning/Pre-Application/NA/NA","DESIGN REVIEW PRELIMINARY REVIEW - 888 SQUARE FOOT SECOND FLOOR ADDITION, APPROXIMATELY 123 SQUARE FOOT REAR DECK","1030 MOUND ST, ALAMEDA CA 94501 United States","Closed",,
"10/01/2015","PREPLN15-0015","Planning/Pre-Application/NA/NA","PREAPPLICATION REVIEW DRT - 4 STORY HOTEL WITH 131 ROOMS AND PROPOSED FUTURE SECOND HOTEL WITH 84 ROOMS","1051 HARBOR BAY PKWY, ALAMEDA CA","Closed",,
"09/10/2015","PREPLN15-0014","Planning/Pre-Application/NA/NA","PREAPPLICATION TO CONVERT SFD TO DUPLEX, TO REVIEW PARKING REQUIREMENTS ON LOT.","418 SANTA CLARA AVE, ALAMEDA CA 94501 United States","Closed",,
"09/01/2015","PREPLN15-0013","Planning/Pre-Application/NA/NA","PRE-APPLICATION DRT - PRELIMINARY REVIEW FOR MIXED USE BUILDING, 4,700 SF RETAIL ON GROUND FLOOR, 7 MARKET RATE UNITS, AND 2 AFFORDABLE UNITS.  APPLICATION WILL REQUIRE DESIGN REVIEW, DENSITY BONUS APPLICATION AND AFFORDABLE HOUSING AGREEMENT.","1435 WEBSTER ST, ALAMEDA CA 94501 United States","Closed",,
"07/07/2015","PREPLN15-0012","Planning/Pre-Application/NA/NA","PRE-APPLICATION - NEW 2 STORY, TOTAL 2331 SQUARE FEET SINGLE FAMILY DWELLING ON VACANT LOT","2004 CLINTON AVE, ALAMEDA CA 94501 United States","Void",,
"06/25/2015","PREPLN15-0011","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW OF PREVIOUSLY APPROVED PROJECT FOR GUIDANCE ON RE-APPROVAL","1151 PACIFIC MARINA, ALAMEDA CA 94501 United States","Closed",,
"06/25/2015","PREPLN15-0010","Planning/Pre-Application/NA/NA","PRE-APPLICATION - DEMO AND REUILDING OF FIRE DAMAGED BUILDING WITH 2-STORY MIXED USE BUILDING","1605 PARK ST, ALAMEDA CA 94501 United States","Closed",,
"05/19/2015","PREPLN15-0009","Planning/Pre-Application/NA/NA","PRE-APPLICATION - 450 SF FIRST STORY ADDITION AND 380 SF SECOND STORY ADDITION PLUS BALCONY","1247 HAWTHORNE ST, ALAMEDA CA 94501 United States","Closed",,
"05/18/2015","PREPLN15-0008","Planning/Pre-Application/NA/NA","PRE-APPLICATION  - PRE-APP REVIEW OF PROPOSED RAISING OF EXISTING SFR TO ACCOMODATE FIRST FLOOR","2527 SANTA CLARA AVE, ALAMEDA CA 94501 United States","Closed",,
"05/14/2015","PREPLN15-0007","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REMOVE ONE-STORY BREAKFAST ROOM AT REAR THAT WAS ADDED IN 1989 AND ADJACENT DECK, ADD TWO-STORY ADDITION, EXPAND KITCHEN INTO EXISTING PORCH, ENCLOSE MIDDLE THIRD OF EXISTING PORCH, REBUILD EXISTING FRONT PORCH","951 PACIFIC AVE, ALAMEDA CA 94501 United States","Void",,
"05/07/2015","PREPLN15-0006","Planning/Pre-Application/NA/NA","(BLDG 800) PRE-APPLICATION MEETING - PRELIMINARY REVIEW OF SINGLE STORY 2,925 SQ FT BANK BUILDING AT SOUTH SHORE CENTER","2250 SOUTH SHORE CTR, ALAMEDA CA 94501","Closed",,
"05/06/2015","PREPLN15-0005","Planning/Pre-Application/NA/NA","PRE-APP - INSTALL A PORTABLE SWIM-SPA","137 BRIGHTON RD, ALAMEDA CA 94502","Closed",,
"04/27/2015","PREPLN15-0004","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PROPOSAL FOR A PRIVATE SCHOOL IN R-4 ZONE, WILL REQUIRE A CONDITIONAL USE PERMIT","508 TAYLOR AVE, ALAMEDA CA 94501 United States","Void",,
"02/09/2015","PREPLN15-0003","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION - ADD ONE ADDITIONAL DETACHED UNIT TO THE REAR OF THE LOT","1547 SHERMAN ST, ALAMEDA CA 94501 United States","Closed",,
"01/20/2015","PREPLN15-0002","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PRELIMINARY REVIEW OF USE PERMIT APPLICATION TO ALLOW RESTAURANT USE IN NP-MU ZONE.  EXISTING LAND USE IS RESIDENTIAL","1920 BROADWAY, ALAMEDA CA 94501 United States","Void",,
"01/05/2015","PREPLN15-0001","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION FOR LOT LINE ADJUSTMENT FOR 3 EXISTING LOTS, ONE LOT CONTAINING AN EXISTING HISTORIC BUILDING.","1113 LINCOLN AVE, ALAMEDA CA 94501 United States","Closed",,
"11/20/2014","PREPLN14-0014","Planning/Pre-Application/NA/NA","PRE-APPLICATION - DEMO EXISTING COMMERCIAL BUILDINGS (APPROX 3000SF) CONSTRUCT 1 TWO STORY RETAIL (APPROXIMATELY 3000 SF) AND CONSTRUCT 1 ONE-STORY GARAGE (APPROXIMATELY 800 SF)","2008 ENCINAL AVE, ALAMEDA CA 94501 United States","Closed",,
"11/19/2014","PREPLN14-0013","Planning/Pre-Application/NA/NA","PRE-APPLICATION - TWO-STORY ATTACHED ADDITION FOR A TOTAL 683 SQ FT","1728 EAGLE AVE, ALAMEDA CA 94501 United States","Closed",,
"10/22/2014","PREPLN14-0012","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - RAISE EXISTING 1 STORY SFR","615 HAIGHT AVE, ALAMEDA CA 94501 United States","Closed",,
"10/08/2014","PREPLN14-0011","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - PROPOSED NEW 4 UNIT BUILDING & REMODEL OF UNIT 2","1173 BROADWAY, ALAMEDA CA 94501 United States","Closed",,
"10/08/2014","PREPLN14-0010","Planning/Pre-Application/NA/NA","PRE-APPLICATION - CONVERT BASEMENT AREA INTO SECOND UNIT","1810 CLINTON AVE, ALAMEDA CA 94501 United States","Void",,
"09/24/2014","PREPLN14-0009","Planning/Pre-Application/NA/NA","PRE-APPLICATION - SECOND FLOOR ADDITION, FEASIBLITY OF A VARIANCE FOR OFF-STREET PARKING","1311 FERNSIDE BLVD, ALAMEDA CA 94501 United States","Closed",,
"09/18/2014","PREPLN14-0008","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PROJECT REVIEW FOR REDUCTION OF MINIMUM SPEARATION BETWEEN STRUCTURES PER 30-5.7.F.5 - REPLACE EXISTING NO-RATED GARAGE WITH NEW, LARGER GARAGE WITH 1-HR CONSTRUCTION, WITHIN 5' OF PROPERTY LINE (E) NON-CONFORMING SEPARATION TO BE REDUCED.","1117 MORTON ST, ALAMEDA CA 94501 United States","Closed",,
"09/10/2014","PREPLN14-0007","Planning/Pre-Application/NA/NA","REMOVE TWO EXISTING SHEDS/GARAGES AND REPLACE WITH GARAGE (APPROX 1,500 SQUARE FEET). HOME CURRENTLY HAS 5 UNITS.","1538 VERDI ST, ALAMEDA CA 94501 United States","Closed",,
"08/12/2014","PREPLN14-0006","Planning/Pre-Application/NA/NA","PRE-APPLICATION - BASEMENT AND ATTIC CONVERSION FOR EXISTING 4-UNIT BUILDING, WITH NEW WINDOWS.","1201 LAFAYETTE ST, ALAMEDA CA 94501 United States","Closed",,
"07/30/2014","PREPLN14-0005","Planning/Pre-Application/NA/NA","PRE-APPLICATION - APPROVE THE FOOTPRINT PLANS FOR A NEW LARGE ONE CAR GARAGE","1901 CENTRAL AVE, ALAMEDA CA 94501 United States","Closed",,
"05/27/2014","PREPLN14-0004","Planning/Pre-Application/NA/NA","PRE APPLICATION FOR LOT LINE ADJUSTMENT AND BUILDING NEW ONE UNIT DWELLING IN REAR OF PROPERTY","1547 SHERMAN ST, ALAMEDA CA 94501 United States","Closed",,
"05/19/2014","PREPLN14-0003","Planning/Pre-Application/NA/NA","PROPOSAL TO BUILD THREE STORY BUILDING. FIRST AND SECOND FLOOR WILL BE FOR A CHILDRENS DAY CARE FACILITY. THIRD STORY WOULD BE FOR LOW INCOME HOUSING, TWO UNITS.","1929 WEBSTER ST, ALAMEDA CA 94501 United States","Closed",,
"05/13/2014","PREPLN14-0002","Planning/Pre-Application/NA/NA","PRELIMINARY PLAN FOR TENTATIVE PARCEL TO SUBDIVIDE EXISTING PARCEL INTO TWO PARCELS","2533 CLEMENT AVE, ALAMEDA CA 94501","Information Request",,
"03/11/2014","PREPLN14-0001","Planning/Pre-Application/NA/NA","PRESUBMITTAL APP - PRELIMINARY REVIEW OF PROPOSAL TO REINTRODUCE RESIDENTIAL UNIT IN EXISTING PROFESSIONAL OFFICE IN R-5 DISTRICT.","2026 SANTA CLARA AVE, ALAMEDA CA 94501 United States","Closed",,
"07/01/2013","PREPLN13-0003","Planning/Pre-Application/NA/NA","PUBLIC ART APPLICATION FOR ALAMEDA LANDING TARGET PROJECT. PLN11-0328.","2700 FIFTH, ALAMEDA CA 94501","Closed",,
"03/19/2013","PREPLN13-0002","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW","1835 OAK ST, ALAMEDA CA 94501 United States","Closed",,
"02/11/2013","PREPLN13-0001","Planning/Pre-Application/NA/NA","PROPOSED PROJECT WILL REDEVELOP THE ENCINAL TERMINALS PROPERTY TO INCLUDE UP TO 400 RESIDENTIAL UNITS WITH A VARIETY OF PRODUCT TYPES AND DENSITIES. THE  PROJECT WILL INCLUDE COMMUNITY BENEFITS SUCH AS IMPROVED PUBLIC WATERFRONT TRAILS, OPEN SPACE AREAS, MARINE USES IN THE ALASKA BASIN, AND OTHER PROJECT AMENITIES","1521 BUENA VISTA AVE, ALAMEDA CA 94501","Closed",,
"11/13/2012","PREPLN12-0001","Planning/Pre-Application/NA/NA","PRE-APPLICATION: CATELLUS ALAMEDA LANDING FUEL STATION, SITE PLAN AND TRAFFIC STUDY FOR CITY REVIEW AND COMMENT.","2145 WEBSTER ST, ALAMEDA CA 94501 United States","Closed",,
"10/26/2011","PREPLN11-0002","Planning/Pre-Application/NA/NA","PRE-SUBMITTAL PLAN REVIEW REQUEST FOR 1600, 1618 & 1630 PARK ST. (FORMER GOOD CHEVROLET). DEVELOPMENT TO BE KNOWN AS ALAMEDA STATION. FOR DRT REVIEW AND COMMENT ON PRE-SUBMITTAL REVIEW.","1600 PARK ST, ALAMEDA CA 94501 United States","Closed",,
"10/10/2008","PREPLN08-0008","Planning/Pre-Application/NA/NA","Meeting with Doug Vu to review potential expansion/addition of conditioned space to both dwelling units.","2522 LINCOLN AVE, ALAMEDA CA 94501","Closed","Meeting with Doug Vu to review potential expansion/addition of conditi",
"09/24/2008","PREPLN08-0007","Planning/Pre-Application/NA/NA","GREG MCFANN SPOKE TO PROPERTY OWNER REGARDING REPLACEMENT OF EXISTING LANAI. PERMIT FOR EXISTING LANAI ISSUED 6/27/60. PO WAS INFORMED THAT LANAI COULD BE REPLACED IN THE SAME LOCATION. MINOR DESIGN REVIEW MIGHT BE NECCESARY. WORK WOULD BE CONSIDERED AS REPLACEMENT IN KIND.","3309 CONSTANCE CIR, ALAMEDA CA 94501 United States","Closed","GREG MCFANN SPOKE TO PROPERTY OWNER REGARDING REPLACEMENT OF EXISTING",
"07/14/2008","PREPLN08-0006","Planning/Pre-Application/NA/NA","PRE MEETING FOR ADDITION APPROX. 50 SQFT FOR NEW OWNER","1550 HIGH ST, ALAMEDA CA 94501","Closed","PRE MEETING FOR ADDITION APPROX. 50 SQFT FOR NEW OWNER",
"04/25/2008","PREPLN08-0005","Planning/Pre-Application/NA/NA",,"2618 CENTRAL AVE, ALAMEDA CA 94501","Closed",,
"02/21/2008","PREPLN08-0004","Planning/Pre-Application/NA/NA","P/O CAME IN TO FIND OUT IF THE PROPERTY CAN BE SUBDIVIDED AND 2ND PARCEL COULD BE BUILT ON. GAVE HIM PARCEL MAP INFO. PARCEL IS 10,000 SF, SO COULD SUBDIVIDE, BUT MUST PROVIDE ACCESS EASEMENT. PROVIDED PARCEL MAP PROCESS INFO, AND INSTRUCTED HIM OF DEVELOPMENT REGULATIONS. (#NUMBER OF STRUCTURES ON SECOND PARCEL/MEASURE A, MASSING & HEIGHT LIMITATIONS BASED ON FRONT (EXISTING) STRUCTURE.","3260 BRIGGS AVE, ALAMEDA CA 94501 United States","Closed","P/O CAME IN TO FIND OUT IF THE PROPERTY CAN BE SUBDIVIDED AND 2ND PARC",
"02/20/2008","PREPLN08-0003","Planning/Pre-Application/NA/NA",,"2263 SANTA CLARA AVE, ALAMEDA CA 94501 United States","Closed",,
"02/20/2008","PREPLN08-0002","Planning/Pre-Application/NA/NA","Test - They have many questions","2263 SANTA CLARA AVE, ALAMEDA CA 94501 United States","Closed","Test - They have many questions",
"02/06/2008","PREPLN08-0001","Planning/Pre-Application/NA/NA","TEST RECORD BY GREG MCFANN","2712 SAN JOSE AVE, ALAMEDA CA 94501","Closed",,
"09/18/2007","PREPLN07-0001","Planning/Pre-Application/NA/NA",,"TEST, ALAMEDA CA","Closed",,
